# Узлы интерполяции
-5.0000000000e-02 4.5647262536e-02
-4.2857142857e-02 -4.1742085182e-02
-3.5714285714e-02 9.6752067253e-03
-2.8571428571e-02 -1.2233790557e-02
-2.1428571429e-02 9.4598182214e-03
-1.4285714286e-02 1.1055581165e-02
-7.1428571429e-03 7.0017118531e-03
1.7347234760e-18 1.5304922084e-18
7.1428571429e-03 7.0017118531e-03
1.4285714286e-02 1.1055581165e-02
2.1428571429e-02 9.4598182214e-03
2.8571428571e-02 -1.2233790557e-02
3.5714285714e-02 9.6752067253e-03
4.2857142857e-02 -4.1742085182e-02
5.0000000000e-02 4.5647262536e-02


# Функция и интерполяционный полином
-5.0000000000e-02 4.5647262536e-02
-4.9899899900e-02 4.6335979133e-02
-4.9799799800e-02 4.6949819968e-02
-4.9699699700e-02 4.7487181544e-02
-4.9599599600e-02 4.7946563704e-02
-4.9499499499e-02 4.8326574842e-02
-4.9399399399e-02 4.8625937074e-02
-4.9299299299e-02 4.8843491352e-02
-4.9199199199e-02 4.8978202511e-02
-4.9099099099e-02 4.9029164221e-02
-4.8998998999e-02 4.8995603861e-02
-4.8898898899e-02 4.8876887256e-02
-4.8798798799e-02 4.8672523310e-02
-4.8698698699e-02 4.8382168475e-02
-4.8598598599e-02 4.8005631077e-02
-4.8498498498e-02 4.7542875456e-02
-4.8398398398e-02 4.6994025918e-02
-4.8298298298e-02 4.6359370474e-02
-4.8198198198e-02 4.5639364361e-02
-4.8098098098e-02 4.4834633307e-02
-4.7997997998e-02 4.3945976543e-02
-4.7897897898e-02 4.2974369531e-02
-4.7797797798e-02 4.1920966395e-02
-4.7697697698e-02 4.0787102036e-02
-4.7597597598e-02 3.9574293909e-02
-4.7497497497e-02 3.8284243455e-02
-4.7397397397e-02 3.6918837151e-02
-4.7297297297e-02 3.5480147179e-02
-4.7197197197e-02 3.3970431683e-02
-4.7097097097e-02 3.2392134603e-02
-4.6996996997e-02 3.0747885067e-02
-4.6896896897e-02 2.9040496318e-02
-4.6796796797e-02 2.7272964170e-02
-4.6696696697e-02 2.5448464968e-02
-4.6596596597e-02 2.3570353043e-02
-4.6496496496e-02 2.1642157638e-02
-4.6396396396e-02 1.9667579301e-02
-4.6296296296e-02 1.7650485725e-02
-4.6196196196e-02 1.5594907025e-02
-4.6096096096e-02 1.3505030444e-02
-4.5995995996e-02 1.1385194466e-02
-4.5895895896e-02 9.2398823438e-03
-4.5795795796e-02 7.0737150214e-03
-4.5695695696e-02 4.8914434483e-03
-4.5595595596e-02 2.6979402834e-03
-4.5495495495e-02 4.9819098366e-04
-4.5395395395e-02 -1.7027157241e-03
-4.5295295295e-02 -3.8995979861e-03
-4.5195195195e-02 -6.0871915779e-03
-4.5095095095e-02 -8.2601612678e-03
-4.4994994995e-02 -1.0413112781e-02
-4.4894894895e-02 -1.2540605356e-02
-4.4794794795e-02 -1.4637164880e-02
-4.4694694695e-02 -1.6697297587e-02
-4.4594594595e-02 -1.8715504308e-02
-4.4494494494e-02 -2.0686295249e-02
-4.4394394394e-02 -2.2604205268e-02
-4.4294294294e-02 -2.4463809641e-02
-4.4194194194e-02 -2.6259740275e-02
-4.4094094094e-02 -2.7986702339e-02
-4.3993993994e-02 -2.9639491282e-02
-4.3893893894e-02 -3.1213010197e-02
-4.3793793794e-02 -3.2702287490e-02
-4.3693693694e-02 -3.4102494810e-02
-4.3593593594e-02 -3.5408965191e-02
-4.3493493493e-02 -3.6617211351e-02
-4.3393393393e-02 -3.7722944101e-02
-4.3293293293e-02 -3.8722090803e-02
-4.3193193193e-02 -3.9610813804e-02
-4.3093093093e-02 -4.0385528804e-02
-4.2992992993e-02 -4.1042923062e-02
-4.2892892893e-02 -4.1579973391e-02
-4.2792792793e-02 -4.1993963862e-02
-4.2692692693e-02 -4.2282503122e-02
-4.2592592593e-02 -4.2443541276e-02
-4.2492492492e-02 -4.2475386222e-02
-4.2392392392e-02 -4.2376719367e-02
-4.2292292292e-02 -4.2146610637e-02
-4.2192192192e-02 -4.1784532683e-02
-4.2092092092e-02 -4.1290374197e-02
-4.1991991992e-02 -4.0664452243e-02
-4.1891891892e-02 -3.9907523506e-02
-4.1791791792e-02 -3.9020794368e-02
-4.1691691692e-02 -3.8005929713e-02
-4.1591591592e-02 -3.6865060361e-02
-4.1491491491e-02 -3.5600789044e-02
-4.1391391391e-02 -3.4216194822e-02
-4.1291291291e-02 -3.2714835845e-02
-4.1191191191e-02 -3.1100750382e-02
-4.1091091091e-02 -2.9378456007e-02
-4.0990990991e-02 -2.7552946879e-02
-4.0890890891e-02 -2.5629689015e-02
-4.0790790791e-02 -2.3614613493e-02
-4.0690690691e-02 -2.1514107504e-02
-4.0590590591e-02 -1.9335003185e-02
-4.0490490490e-02 -1.7084564178e-02
-4.0390390390e-02 -1.4770469867e-02
-4.0290290290e-02 -1.2400797229e-02
-4.0190190190e-02 -9.9840002855e-03
-4.0090090090e-02 -7.5288871115e-03
-3.9989989990e-02 -5.0445943963e-03
-3.9889889890e-02 -2.5405595447e-03
-3.9789789790e-02 -2.6490329929e-05
-3.9689689690e-02 2.4876678842e-03
-3.9589589590e-02 4.9917673162e-03
-3.9489489489e-02 7.4754952873e-03
-3.9389389389e-02 9.9284140278e-03
-3.9289289289e-02 1.2340002687e-02
-3.9189189189e-02 1.4699701454e-02
-3.9089089089e-02 1.6996957675e-02
-3.8988988989e-02 1.9221273839e-02
-3.8888888889e-02 2.1362257277e-02
-3.8788788789e-02 2.3409671419e-02
-3.8688688689e-02 2.5353488408e-02
-3.8588588589e-02 2.7183942880e-02
-3.8488488488e-02 2.8891586676e-02
-3.8388388388e-02 3.0467344244e-02
-3.8288288288e-02 3.1902568474e-02
-3.8188188188e-02 3.3189096670e-02
-3.8088088088e-02 3.4319306379e-02
-3.7987987988e-02 3.5286170737e-02
-3.7887887888e-02 3.6083313011e-02
-3.7787787788e-02 3.6705059982e-02
